Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=1x2048x320,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,60,Memory,883,377,883,0,0,0,0,0,0,0,0,0,377,0,0,2621440,"DT_BFLOAT16:[1,2048,320]","[DT_BFLOAT16:(1,2048,320)]",3932160,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,377,2621440,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.453182332955832,2764.8994903737257,0.4263540070614881,0.9999636493214198,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,AllGatherMHA-3,AllGather(1x2048x5120->1x2048x81920),AllGatherMHA3AllGather,ICINoCompute,60,ICI/NVLink,768956,0,310805,768956,461373440,461373440,0,0,0,0,0,0,0,0,0,922746880,"DT_BFLOAT16:[1,2048,5120]","[DT_BFLOAT16:(1,2048,81920)]",0,AllGatherMHA3AllGather,AllGather,0,[],AllGather,,,,,0,,,,,0,0,922746880,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1117.5867019699438,0.0,0.4041904889583883,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Fwd-Attention-encoder-Attention-serving-prefill-q_wq_a_linear,"XlaEinsum(a=1x2048x5120,b=5120x1536,eq=BSM;MD->BSD,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillqwqalinearwqaxselfwqax,MXU,60,Compute,72302,72302,14481,0,0,0,0,0,0,0,0,72302,12047,0,0,42991616,"DT_BFLOAT16:[1,2048,5120],DT_BFLOAT16:[5120,1536]","[DT_BFLOAT16:(1,2048,1536)]",32212254720,FwdAttentionencoderAttentionservingprefillqwqalinearwqaxselfwqax,Einsum,15728640,[],Einsum,"BSM,MD->BSD","[[1, 2048, 5120], [5120, 1536], [1, 2048, 1536]]",1,13631488,7680,1,2048,1536,5120,0,72302,42991616,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,13008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.52370224890046,553.7753105031672,0.9768337235685718,0.20028040162863192,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,Fwd-Attention-encoder-Attention-serving-prefill-q_norm,"RMSNorm(x=1x2048x1536,memory_placements=0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillqnormqnormwqaxselfqnormwqax,VPU,60,Memory,8477,1808,8477,0,0,0,0,0,0,0,0,0,1808,0,0,25165824,"DT_FLOAT32:[1,2048,1536]","[DT_FLOAT32:(1,2048,1536)]",18874368,FwdAttentionencoderAttentionservingprefillqnormqnormwqaxselfqnormwqax,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,1808,25165824,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.22653863395069,2764.8342574023827,0.21317197399190888,0.9999400569267207,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,Fwd-Attention-encoder-Attention-serving-prefill-q_wq_b_linear,"XlaEinsum(a=1x2048x1536,b=1536x1536,eq=BSR;RD->BSD,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillqwqblinearqselfwqbqnormwqax,MXU,60,Compute,21704,21704,5828,0,0,0,0,0,0,0,0,21704,3614,0,0,17301504,"DT_BFLOAT16:[1,2048,1536],DT_BFLOAT16:[1536,1536]","[DT_BFLOAT16:(1,2048,1536)]",9663676416,FwdAttentionencoderAttentionservingprefillqwqblinearqselfwqbqnormwqax,Einsum,4718592,[],Einsum,"BSR,RD->BSD","[[1, 2048, 1536], [1536, 1536], [1, 2048, 1536]]",1,13631488,2304,1,2048,1536,1536,0,21704,17301504,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.24863693328416,742.4106731478068,0.9762306286599918,0.2685029559304907,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-Attention-encoder-Attention-serving-prefill-apply_rotary_emb,"Mul(a=1x2048x8x64,b=1x2048x8x64,memory_placements=0_0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillapplyrotaryembqpeapplyrotaryembqpefreqscis,VPU,60,Memory,2826,101,2826,0,0,0,0,0,0,0,0,0,101,0,0,8388608,"DT_FLOAT32:[1,2048,8,64]","[DT_FLOAT32:(1,2048,8,64)]",1048576,FwdAttentionencoderAttentionservingprefillapplyrotaryembqpeapplyrotaryembqpefreqscis,Mul,0,[],Mul,,,,,0,,,,,0,101,8388608,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.37104600141542815,2764.5081387119603,0.03552447164286804,0.9998221116498952,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
8,Fwd-Attention-encoder-Attention-serving-prefill-kv_k_pe_linear,"XlaEinsum(a=1x2048x5120,b=5120x576,eq=BSM;MK->BSK,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillkvkpelinearkvselfwkvaxkvkpetorchsplitkvselfkvlorarankselfqkropeheaddimdim1,MXU,60,Compute,30137,30137,9846,0,0,0,0,0,0,0,0,30137,5020,0,0,29229056,"DT_BFLOAT16:[1,2048,5120],DT_BFLOAT16:[5120,576]","[DT_BFLOAT16:(1,2048,576)]",12079595520,FwdAttentionencoderAttentionservingprefillkvkpelinearkvselfwkvaxkvkpetorchsplitkvselfkvlorarankselfqkropeheaddimdim1,Einsum,5898240,[],Einsum,"BSM,MK->BSK","[[1, 2048, 5120], [5120, 576], [1, 2048, 576]]",1,7733248,3200,1,2048,576,5120,0,30137,29229056,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,5674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,400.8227600623818,903.2644154195839,0.8788245995137399,0.3266779079275168,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
9,Fwd-Attention-encoder-Attention-serving-prefill-apply_rotary_emb,"Mul(a=1x2048x64,b=1x2048x64,memory_placements=0_0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillapplyrotaryembkpeapplyrotaryembkpeunsqueeze2freqscis,VPU,60,Memory,500,13,500,0,0,0,0,0,0,0,0,0,13,0,0,1048576,"DT_FLOAT32:[1,2048,64]","[DT_FLOAT32:(1,2048,64)]",131072,FwdAttentionencoderAttentionservingprefillapplyrotaryembkpeapplyrotaryembkpeunsqueeze2freqscis,Mul,0,[],Mul,,,,,0,,,,,0,13,1048576,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.262144,1953.125,0.02509803921568627,0.706374321880651,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
10,AllGatherKV-10,AllGather(1x2048x512->1x32768x512),AllGatherKV10AllGather,ICINoCompute,60,ICI/NVLink,49950,0,15541,49950,23068672,23068672,0,0,0,0,0,0,0,0,0,46137344,"DT_BFLOAT16:[1,2048,512]","[DT_BFLOAT16:(1,32768,512)]",0,AllGatherKV10AllGather,AllGather,0,[],AllGather,,,,,0,,,,,0,0,46137344,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,860.2352352352352,0.0,0.3111158174449314,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
11,AllGatherK_PE-11,AllGather(1x2048x64->1x32768x64),AllGatherKPE11AllGather,ICINoCompute,60,ICI/NVLink,49950,0,7771,49950,11534336,11534336,0,0,0,0,0,0,0,0,0,23068672,"DT_BFLOAT16:[1,2048,64]","[DT_BFLOAT16:(1,32768,64)]",0,AllGatherKPE11AllGather,AllGather,0,[],AllGather,,,,,0,,,,,0,0,23068672,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,430.1176176176176,0.0,0.1555579087224657,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
