Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,PrefillReceiveInputFromPipelineICI,"InterChipCommInput([16, 2048, 8192])",PrefillReceiveInputFromPipelineICIreceiveInputICITransfer268435456,ICINoCompute,1,ICI/NVLink,2684355,0,180832,2684355,0,536870912,0,0,0,0,0,0,0,0,0,536870912,"DT_BFLOAT16:[16,2048,8192]","[DT_BFLOAT16:(16,2048,8192)]",0,PrefillReceiveInputFromPipelineICIreceiveInputICITransfer268435456,InterChipXferInput,0,[],InterChipCommInput,,,,,0,,,,,0,0,536870912,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,186.26448439196753,0.0,0.06736509381264648,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-Attention-encoder-Input_layernorm,"LayerNorm(x=16x2048x8192,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputlayernormXnormLayerNormX,VPU,16,Memory,361664,205604,361664,0,0,0,0,0,0,0,0,0,205604,0,0,1073741824,"DT_BFLOAT16:[16,2048,8192]","[DT_BFLOAT16:(16,2048,8192)]",2147483648,FwdAttentionencoderInputlayernormXnormLayerNormX,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,205604,1073741824,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,75336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.937786586444877,2764.997345602548,0.5684921287573602,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Concatenate dims before attn,AllGather(16x2048x8192->16x2048x16384),ConcatenatedimsbeforeattnAllGatherMHA4,ICINoCompute,16,ICI/NVLink,5368710,0,723328,5368710,1073741824,1073741824,0,0,0,0,0,0,0,0,0,2147483648,"DT_BFLOAT16:[16,2048,8192]","[DT_BFLOAT16:(16,2048,16384)]",0,ConcatenatedimsbeforeattnAllGatherMHA4,AllGather,0,[],AllGather,,,,,0,,,,,0,0,2147483648,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,372.52896878393506,0.0,0.13473018762529296,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,-Q-5,"XlaEinsum(a=16x2048x16384,b=16384x64x128,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",Q5MatMulQ,MXU,16,Compute,19737920,19737920,1265823,0,0,0,0,0,0,0,0,19737920,3289650,0,0,3758096384,"DT_BFLOAT16:[16,2048,16384],DT_BFLOAT16:[16384,64,128]","[DT_BFLOAT16:(16,2048,64,128)]",8796093022208,Q5MatMulQ,Einsum,268435456,[],Einsum,"BLM,MND->BLND","[[16, 512, 2048], [2048, 64, 64], [16, 512, 64, 64]]",8,620756992,2097152,1,32768,8192,16384,0,19737920,3758096384,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,3373427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.6443750004053,177.32364909777726,0.9770983048076636,0.0641315186610406,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,-K-5,"XlaEinsum(a=16x2048x16384,b=16384x4x128,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",K5MatMulK,MXU,16,Compute,1233638,1233638,378617,0,0,0,0,0,0,0,0,1233638,205603,0,0,1124073472,"DT_BFLOAT16:[16,2048,16384],DT_BFLOAT16:[16384,4,128]","[DT_BFLOAT16:(16,2048,4,128)]",549755813888,K5MatMulK,Einsum,16777216,[],Einsum,"BLM,MND->BLND","[[16, 2048, 1024], [1024, 4, 128], [16, 2048, 4, 128]]",1,101711872,131072,1,32768,512,16384,0,1233638,1124073472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,230663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.63787260768555,848.6079384714154,0.9770840479758486,0.30691064682510505,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,-V-5,"XlaEinsum(a=16x2048x16384,b=16384x4x128,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",V5MatMulV,MXU,16,Compute,1233638,1233638,378617,0,0,0,0,0,0,0,0,1233638,205603,0,0,1124073472,"DT_BFLOAT16:[16,2048,16384],DT_BFLOAT16:[16384,4,128]","[DT_BFLOAT16:(16,2048,4,128)]",549755813888,V5MatMulV,Einsum,16777216,[],Einsum,"BLM,MND->BLND","[[16, 2048, 1024], [1024, 4, 128], [16, 2048, 4, 128]]",1,101711872,131072,1,32768,512,16384,0,1233638,1124073472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,230663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.63787260768555,848.6079384714154,0.9770840479758486,0.30691064682510505,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,-FlashAttention-6,"FlashAttention(q=16x2048x64x128,k=16x2048x4x128,v=16x2048x4x128,memory_placements=[0, 0, 0],type=DT_BFLOAT16)",FlashAttention6FlashAttention,MXU,16,Compute,4934514,4934514,384268,0,0,0,0,0,0,0,0,4934514,2467237,0,0,1140850688,"DT_BFLOAT16:[16,2048,64,128],DT_BFLOAT16:[16,2048,4,128],DT_BFLOAT16:[16,2048,4,128]","[DT_BFLOAT16:(16,2048,64,128)]",2216203124736,FlashAttention6FlashAttention,FlashAttention,0,[],FlashAttention,,"[2048, 128]",,2129920,524288,1024,2048,2048,128,1644825,4934514,1140850688,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,847850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,449.12287709306327,215.32009028650035,0.9847251002721029,0.0778734503748645,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,-Attention_output-7,"XlaEinsum(a=16x2048x64x128,b=64x128x16384,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",Attentionoutput7MatMulattnOutputattnAvgWo,MXU,16,Compute,19737920,19737920,1446655,0,0,0,0,0,0,0,0,19737920,3289650,0,0,4294967296,"DT_BFLOAT16:[16,2048,64,128],DT_BFLOAT16:[64,128,16384]","[DT_BFLOAT16:(16,2048,16384)]",8796093022208,Attentionoutput7MatMulattnOutputattnAvgWo,Einsum,268435456,[],Einsum,"BLND,NDM->BLM","[[16, 512, 64, 32], [64, 32, 4096], [16, 512, 4096]]",16,1174405120,2097152,1,32768,16384,8192,0,19737920,4294967296,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,3385394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.6443750004053,202.6555989688883,0.9770983048076636,0.07329316418404641,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
8,Reduce and split attention results,"ReduceScatter(['16', '2048', '16384']->['16', '2048', '8192'])",ReduceandsplitattentionresultsAllReduceReduceScatter8,VPU,16,ICI/NVLink,2684355,43691,361664,2684355,536870912,536870912,0,0,0,0,0,0,43691,0,0,1073741824,"DT_BFLOAT16:[16,2048,16384]","[DT_BFLOAT16:(16,2048,8192)]",268435456,ReduceandsplitattentionresultsAllReduceReduceScatter8,ReduceScatter,0,[],ReduceScatter,,,,,0,,,,,0,43691,1073741824,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,34858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.09999998360872538,372.52896878393506,0.009574140587538811,0.13473018762529296,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
9,-Attention_layernorm-9,"LayerNorm(x=16x2048x8192,memory_placements=0_0,type=DT_BFLOAT16)",Attentionlayernorm9YnormLayerNormy,VPU,16,Memory,361664,205604,361664,0,0,0,0,0,0,0,0,0,205604,0,0,1073741824,"DT_BFLOAT16:[16,2048,8192]","[DT_BFLOAT16:(16,2048,8192)]",2147483648,Attentionlayernorm9YnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,205604,1073741824,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,75336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.937786586444877,2764.997345602548,0.5684921287573602,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
