model,model_display_name,microbatch_size,tp,pp,pf_stage_ms,dc_stage_ms,ttft_ms,tpot_ms,pf_ici_bytes,dc_ici_bytes,ss_pf_tps,ss_dc_tps,sr_pf_tps,sr_dc_tps
gpt-oss-120b,GPT-OSS-120B,1,1,16,17.884,89.009,286.14,11.126,0,0,114516.2,1438.1,7157.3,89.9
gpt-oss-120b,GPT-OSS-120B,1,2,8,15.644,98.168,125.15,6.135,1091232000,42652800,130912.0,1303.9,16364.0,163.0
gpt-oss-120b,GPT-OSS-120B,1,4,4,10.158,167.064,40.63,5.221,1473396480,87441120,201615.3,766.2,50403.8,191.5
gpt-oss-120b,GPT-OSS-120B,1,8,2,9.23,376.232,18.46,5.879,1162252800,170310600,221882.0,340.2,110941.0,170.1
gpt-oss-120b,GPT-OSS-120B,1,16,1,14.345,993.844,14.35,7.764,1245404160,624143520,142766.5,128.8,142766.5,128.8
gpt-oss-120b,GPT-OSS-120B,4,1,16,71.218,133.353,1139.49,16.669,0,0,115027.1,3839.4,7189.2,240.0
gpt-oss-120b,GPT-OSS-120B,4,2,8,62.341,157.686,498.72,9.855,4364928000,170611200,131407.3,3247.0,16425.9,405.9
gpt-oss-120b,GPT-OSS-120B,4,4,4,40.289,266.398,161.16,8.325,5893585920,349764480,203331.7,1921.9,50832.9,480.5
gpt-oss-120b,GPT-OSS-120B,4,8,2,31.809,572.084,63.62,8.939,4649011200,681242400,257540.3,895.0,128770.2,447.5
gpt-oss-120b,GPT-OSS-120B,4,16,1,34.492,1385.123,34.49,10.821,4981616640,2496546360,237506.6,369.6,237506.6,369.6
gpt-oss-120b,GPT-OSS-120B,16,1,16,284.855,315.394,4557.68,39.424,0,0,115034.0,6493.5,7189.6,405.8
gpt-oss-120b,GPT-OSS-120B,16,2,8,249.292,400.295,1994.34,25.018,17459712000,682444800,131444.2,5116.2,16430.5,639.5
gpt-oss-120b,GPT-OSS-120B,16,4,4,160.567,670.522,642.27,20.954,23574343680,1399057920,204076.8,3054.3,51019.2,763.6
gpt-oss-120b,GPT-OSS-120B,16,8,2,124.74,1361.815,249.48,21.278,18596044800,2724969600,262690.5,1503.9,131345.3,751.9
gpt-oss-120b,GPT-OSS-120B,16,16,1,121.696,2957.549,121.7,23.106,19926466560,9986185440,269260.9,692.5,269260.9,692.5
gpt-oss-120b,GPT-OSS-120B,64,1,16,1139.403,1048.979,18230.45,131.122,0,0,115035.7,7809.5,7189.7,488.1
gpt-oss-120b,GPT-OSS-120B,64,2,8,997.1,1377.565,7976.8,86.098,69838848000,2729779200,131453.2,5946.7,16431.7,743.3
gpt-oss-120b,GPT-OSS-120B,64,4,4,641.923,2291.508,2567.69,71.61,94297374720,5596231680,204186.5,3574.9,51046.6,893.7
gpt-oss-120b,GPT-OSS-120B,64,8,2,497.639,4524.972,995.28,70.703,74384179200,10899878400,263387.6,1810.4,131693.8,905.2
gpt-oss-120b,GPT-OSS-120B,64,16,1,474.453,9250.156,474.45,72.267,79705866240,39944741760,276259.1,885.6,276259.1,885.6
deepseekv2-236b,DeepSeek-v2-236B,1,1,16,269.94,915.056,4319.04,114.382,20971520,1310720,7586.9,139.9,474.2,8.7
