Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Attention-serving-decode-Input_layernorm,"LayerNorm(x=1x1x4096,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeInputlayernormXnormLayerNormX,VPU,16384,Memory,500,4,500,0,0,0,0,0,0,0,0,0,4,0,0,16384,"DT_BFLOAT16:[1,1,4096]","[DT_BFLOAT16:(1,1,4096)]",32768,AttentionservingdecodeInputlayernormXnormLayerNormX,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,4,16384,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.065536,30.517578125,0.0062745098039215675,0.011037098779385171,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Attention-serving-decode-Q/K/V,"XlaEinsum(a=1x1x4096,b=4096x32x128,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,MXU,16384,Memory,11308,9657,11308,0,0,0,0,0,0,0,0,9657,1606,0,0,33570816,"DT_BFLOAT16:[1,1,4096],DT_BFLOAT16:[4096,32,128]","[DT_BFLOAT16:(1,1,32,128)]",33554432,AttentionservingdecodeQKVMatMulQ2xnormallgathered2Wq1,Einsum,33554432,[],Einsum,"BLM,MND->BLND","[[1, 1, 4096], [4096, 32, 128], [1, 1, 32, 128]]",1,8398848,1024,1,1,4096,4096,0,9657,33570816,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.9673180049522463,2764.8796240769807,0.006505997955121639,0.9999564644039713,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Attention-serving-decode-Q/K/V,"XlaEinsum(a=1x1x4096,b=2x4096x8x128,eq=BLM;TMND->BTLND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,MXU,16384,Memory,5656,4838,5656,0,0,0,0,0,0,0,0,4838,803,0,0,16789504,"DT_BFLOAT16:[1,1,4096],DT_BFLOAT16:[2,4096,8,128]","[DT_BFLOAT16:(1,2,1,8,128)]",16777216,AttentionservingdecodeQKVMatMulKV2xnorm2Wkv1,Einsum,16777216,[],Einsum,"BLM,TMND->BTLND","[[1, 1, 4096], [2, 4096, 8, 128], [1, 2, 1, 8, 128]]",1,4200448,512,1,1,2048,4096,0,4838,16789504,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.96626874115983,2764.576395296477,0.006503697390073859,0.9998467975755795,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=1x8x4x1x128,b=1x8x4096x128,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,MXU,16384,Memory,2917,2429,2917,0,0,0,0,0,0,0,0,2429,401,0,0,8658944,"DT_BFLOAT16:[1,8,4,1,128],DT_BFLOAT16:[1,8,4096,128]","[DT_BFLOAT16:(1,8,4,1,4096)]",33554432,AttentionservingdecodeSoftmaxQKVMatMulQKprefix2Q2Kcache2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[1, 8, 4, 1, 128], [1, 8, 4096, 128], [1, 8, 4, 1, 4096]]",1,1082368,256,8,4,4096,128,0,2429,8658944,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11.503062050051422,2764.5766265105417,0.02522105755108519,0.9998468811973026,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=1x8x4x1x128,b=1x8x512x128,eq=BGHND;BGSD->BGHNS,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,MXU,16384,Memory,500,320,500,0,0,0,0,0,0,0,0,320,50,0,0,1089536,"DT_BFLOAT16:[1,8,4,1,128],DT_BFLOAT16:[1,8,512,128]","[DT_BFLOAT16:(1,8,4,1,512)]",4194304,AttentionservingdecodeSoftmaxQKVMatMulQKsuffix2Q2Ksuffix2,Einsum,0,[],Einsum,"BGHND,BGSD->BGHNS","[[1, 8, 4, 1, 128], [1, 8, 512, 128], [1, 8, 4, 1, 512]]",1,136192,32,8,4,512,128,0,320,1089536,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,8.388608,2029.4189453125,0.018392456219128873,0.7339670688291139,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"Softmax(x=1x8x4x1x4608,memory_placements=0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,VPU,16384,Memory,500,57,500,0,0,0,0,0,0,0,0,0,57,0,0,589824,"DT_BFLOAT16:[1,8,4,1,4608]","[DT_BFLOAT16:(1,8,4,1,4608)]",589824,AttentionservingdecodeSoftmaxQKVattnWeightsSoftmaxattnWeights,Softmax,0,[],Softmax,,,,,0,,,,,0,57,589824,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.179648,1098.6328125,0.11294117647058823,0.3973355560578662,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=1x8x4x1x4096,b=1x8x4096x128,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,MXU,16384,Memory,2917,2429,2917,0,0,0,0,0,0,0,0,2429,401,0,0,8658944,"DT_BFLOAT16:[1,8,4,1,4096],DT_BFLOAT16:[1,8,4096,128]","[DT_BFLOAT16:(1,8,4,1,128)]",33554432,AttentionservingdecodeSoftmaxQKVMatMulattnavgprefix2QKprefix2Vcache2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[1, 8, 4, 1, 4096], [1, 8, 4096, 128], [1, 8, 4, 1, 128]]",1,271360,256,8,4,128,4096,0,2429,8658944,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11.503062050051422,2764.5766265105417,0.02522105755108519,0.9998468811973026,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"XlaEinsum(a=1x8x4x1x512,b=1x8x512x128,eq=BGHNS;BGSD->BGHND,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,MXU,16384,Memory,500,320,500,0,0,0,0,0,0,0,0,320,50,0,0,1089536,"DT_BFLOAT16:[1,8,4,1,512],DT_BFLOAT16:[1,8,512,128]","[DT_BFLOAT16:(1,8,4,1,128)]",4194304,AttentionservingdecodeSoftmaxQKVMatMulattnavgsuffix2QKsuffix2Vsuffix2,Einsum,0,[],Einsum,"BGHNS,BGSD->BGHND","[[1, 8, 4, 1, 512], [1, 8, 512, 128], [1, 8, 4, 1, 128]]",1,136192,32,8,4,128,512,0,320,1089536,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,8.388608,2029.4189453125,0.018392456219128873,0.7339670688291139,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,Attention-serving-decode-Softmax(Q*K)*V,"Add(a=1x1x32x128,b=1x1x32x128,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,VPU,16384,Memory,500,1,500,0,0,0,0,0,0,0,0,0,1,0,0,16384,"DT_BFLOAT16:[1,1,32,128]","[DT_BFLOAT16:(1,1,32,128)]",4096,AttentionservingdecodeSoftmaxQKVattnavgAddBdbeamSNhDBdbeamSNhD,Add,0,[],Add,,,,,0,,,,,0,1,16384,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.008192,30.517578125,0.0007843137254901959,0.011037098779385171,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,Attention-serving-decode-Attention_output,"XlaEinsum(a=1x1x32x128,b=32x128x4096,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,MXU,16384,Memory,11308,9657,11308,0,0,0,0,0,0,0,0,9657,1606,0,0,33570816,"DT_BFLOAT16:[1,1,32,128],DT_BFLOAT16:[32,128,4096]","[DT_BFLOAT16:(1,1,4096)]",33554432,AttentionservingdecodeAttentionoutputMatMulattnOutput2attnAvg2Wo1,Einsum,33554432,[],Einsum,"BLND,NDM->BLM","[[1, 1, 32, 128], [32, 128, 4096], [1, 1, 4096]]",1,8398848,1024,1,1,4096,4096,0,9657,33570816,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.9673180049522463,2764.8796240769807,0.006505997955121639,0.9999564644039713,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
