prefill_pool_chips,decode_pool_chips,num_prefill_instances,num_decode_instances,prefill_instance_chips,decode_instance_chips,prefill_capacity_qps_without_kv_transfer,prefill_capacity_qps_with_kv_transfer,decode_capacity_qps,system_throughput_qps_without_kv_transfer,system_throughput_qps_with_kv_transfer,bottleneck_without_kv_transfer,bottleneck_with_kv_transfer
16,240,1,15,16,16,134.892139,96.138938,212.15625,134.892139,96.138938,prefill,prefill
32,224,2,14,16,16,269.784277,192.277875,198.0125,198.0125,192.277875,decode,prefill
48,208,3,13,16,16,404.676416,288.416813,183.86875,183.86875,183.86875,decode,decode
64,192,4,12,16,16,539.568555,384.555751,169.725,169.725,169.725,decode,decode
80,176,5,11,16,16,674.460693,480.694688,155.58125,155.58125,155.58125,decode,decode
96,160,6,10,16,16,809.352832,576.833626,141.4375,141.4375,141.4375,decode,decode
112,144,7,9,16,16,944.244971,672.972564,127.29375,127.29375,127.29375,decode,decode
128,128,8,8,16,16,1079.137109,769.111501,113.15,113.15,113.15,decode,decode
144,112,9,7,16,16,1214.029248,865.250439,99.00625,99.00625,99.00625,decode,decode
160,96,10,6,16,16,1348.921387,961.389377,84.8625,84.8625,84.8625,decode,decode
176,80,11,5,16,16,1483.813525,1057.528315,70.71875,70.71875,70.71875,decode,decode
192,64,12,4,16,16,1618.705664,1153.667252,56.575,56.575,56.575,decode,decode
208,48,13,3,16,16,1753.597803,1249.80619,42.43125,42.43125,42.43125,decode,decode
224,32,14,2,16,16,1888.489941,1345.945128,28.2875,28.2875,28.2875,decode,decode
240,16,15,1,16,16,2023.38208,1442.084065,14.14375,14.14375,14.14375,decode,decode
