Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=4x2048x2880,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,3,Memory,31787,13553,31787,0,0,0,0,0,0,0,0,0,13553,0,0,94371840,"DT_BFLOAT16:[4,2048,2880]","[DT_BFLOAT16:(4,2048,2880)]",141557760,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,13553,94371840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.45332242740743,2764.986472457294,0.42636741990343807,0.9999951075794915,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,-Q-3,"XlaEinsum(a=4x2048x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",Q3MatMulQ,MXU,18,Compute,443351,443351,46445,0,0,0,0,0,0,0,0,443351,73888,0,0,137887744,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(4,2048,64,64)]",193273528320,Q3MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[4, 2048, 1440], [1440, 64, 64], [4, 2048, 64, 64]]",1,92274688,47104,1,8192,4096,2880,0,443351,137887744,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,76965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9379550739707,289.6530486003189,0.9558164778893682,0.10475697960228532,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,-K-3,"XlaEinsum(a=4x2048x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",K3MatMulK,MXU,18,Compute,55436,55436,19713,0,0,0,0,0,0,0,0,55436,9236,0,0,58523648,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,2048,8,64)]",24159191040,K3MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 2048, 2880], [2880, 8, 64], [4, 2048, 8, 64]]",1,26214400,5888,1,8192,512,2880,0,55436,58523648,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.8032873944729,983.1949370670683,0.955521212047968,0.35558587235698674,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,-V-3,"XlaEinsum(a=4x2048x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",V3MatMulV,MXU,18,Compute,55436,55436,19713,0,0,0,0,0,0,0,0,55436,9236,0,0,58523648,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,2048,8,64)]",24159191040,V3MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 2048, 2880], [2880, 8, 64], [4, 2048, 8, 64]]",1,26214400,5888,1,8192,512,2880,0,55436,58523648,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,10543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.8032873944729,983.1949370670683,0.955521212047968,0.35558587235698674,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,-FlashAttention-4,"FlashAttention(q=4x2048x64x64,k=4x2048x8x64,v=4x2048x8x64,memory_placements=[0, 0, 0],type=DT_BFLOAT16)",FlashAttention4FlashAttention,MXU,18,Compute,1233658,1233658,50859,0,0,0,0,0,0,0,0,1233658,616808,0,0,150994944,"DT_BFLOAT16:[4,2048,64,64],DT_BFLOAT16:[4,2048,8,64],DT_BFLOAT16:[4,2048,8,64]","[DT_BFLOAT16:(4,2048,64,64)]",279172874240,FlashAttention4FlashAttention,FlashAttention,0,[],FlashAttention,,"[2048, 128]",,1589248,131072,256,2048,2048,64,411206,1233658,150994944,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,208975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,226.29681341182078,113.99026310371269,0.4961674491411793,0.041226134938051606,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,-Attention_output-5,"XlaEinsum(a=4x2048x64x64,b=64x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",Attentionoutput5MatMulattnOutputattnAvgWo,MXU,18,Compute,443351,443351,46445,0,0,0,0,0,0,0,0,443351,73888,0,0,137887744,"DT_BFLOAT16:[4,2048,64,64],DT_BFLOAT16:[64,64,2880]","[DT_BFLOAT16:(4,2048,2880)]",193273528320,Attentionoutput5MatMulattnOutputattnAvgWo,Einsum,23592960,[],Einsum,"BLND,NDM->BLM","[[4, 2048, 32, 64], [32, 64, 2880], [4, 2048, 2880]]",1,69861376,47104,1,8192,2880,4096,0,443351,137887744,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,76965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9379550739707,289.6530486003189,0.9558164778893682,0.10475697960228532,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,-Attention_layernorm-6,"LayerNorm(x=4x2048x2880,memory_placements=0_0,type=DT_BFLOAT16)",Attentionlayernorm6YnormLayerNormy,VPU,18,Memory,31787,18071,31787,0,0,0,0,0,0,0,0,0,18071,0,0,94371840,"DT_BFLOAT16:[4,2048,2880]","[DT_BFLOAT16:(4,2048,2880)]",188743680,Attentionlayernorm6YnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,18071,94371840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,6621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.937763236543241,2764.986472457294,0.5684898932045842,0.9999951075794915,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-Attention-sliding-window-lebron-Q-7,"XlaEinsum(a=4x2048x2880,b=2880x64x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionslidingwindowlebronQ7MatMulQ,MXU,18,Compute,443351,443351,46445,0,0,0,0,0,0,0,0,443351,73888,0,0,137887744,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,64,64]","[DT_BFLOAT16:(4,2048,64,64)]",193273528320,FwdAttentionslidingwindowlebronQ7MatMulQ,Einsum,23592960,[],Einsum,"BLM,MND->BLND","[[4, 2048, 1440], [1440, 64, 64], [4, 2048, 64, 64]]",1,92274688,47104,1,8192,4096,2880,0,443351,137887744,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,76965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9379550739707,289.6530486003189,0.9558164778893682,0.10475697960228532,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-Attention-sliding-window-lebron-K-7,"XlaEinsum(a=4x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionslidingwindowlebronK7MatMulK,MXU,18,Compute,3483,3483,2164,0,0,0,0,0,0,0,0,3483,577,0,0,6422528,"DT_BFLOAT16:[4,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,128,8,64)]",1509949440,FwdAttentionslidingwindowlebronK7MatMulK,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 128, 2880], [2880, 8, 64], [4, 128, 8, 64]]",1,2621440,368,1,512,512,2880,0,3483,6422528,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,433.51979328165373,1717.3256711168533,0.9505145332883139,0.6210942752683014,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-Attention-sliding-window-lebron-V-7,"XlaEinsum(a=4x128x2880,b=2880x8x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionslidingwindowlebronV7MatMulV,MXU,18,Compute,3483,3483,2164,0,0,0,0,0,0,0,0,3483,577,0,0,6422528,"DT_BFLOAT16:[4,128,2880],DT_BFLOAT16:[2880,8,64]","[DT_BFLOAT16:(4,128,8,64)]",1509949440,FwdAttentionslidingwindowlebronV7MatMulV,Einsum,2949120,[],Einsum,"BLM,MND->BLND","[[4, 128, 2880], [2880, 8, 64], [4, 128, 8, 64]]",1,2621440,368,1,512,512,2880,0,3483,6422528,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,433.51979328165373,1717.3256711168533,0.9505145332883139,0.6210942752683014,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
